-122.3187988,47.61336161,Bateau,"1040 E Union St, Seattle, WA 98122",206-900-8699,https://www.restaurantbateau.com/
-122.3144254,47.6147756,Nue,"1519 14th Ave",206-257-0312,https://www.nueseattle.com/
-122.3280836,47.61443553,Terra Plata,"1501 Melrose Ave Seattle, WA 98122",(206) 325-1501,http://www.terraplata.com/
-122.3267947,47.59859928,A+ Hong Kong Kitchen,"419 6th Ave S, Seattle, WA 98104",206-682-1267,https://www.facebook.com/aplushkkitchen/
-122.3214255,47.581182,Gourmondo,"2415 Airport Way S. Seattle WA 98134",206-587-0190,https://catering.gourmondoco.com/index.cfm?fuseaction=order&action=menu-category&category-id=191
-122.3869806,47.56219246,Lady Jaye,"4523 California Ave SW, Seattle, WA 98116",206-457-4029,https://www.ladyjaye.com/
-122.3488405,47.61399327,Buddha Bruddah - Truck,"2460 Western Ave, Seattle, WA 98121",206-448-2233,https://www.buddhabruddah.com/
-122.3864955,47.56001855,Falafel Salam,"4746 California Ave SW, Seattle, WA 98116",(206) 325-2335,https://falafelsalam.com/
-122.3864615,47.56083241,Haymaker,"4706 California Ave SW, Seattle, WA 98116",206-946-6994,https://www.haymakerseattle.com/
-122.3870877,47.55986876,Bakery Nouveau - West Seattle,"4737 California Ave SW, Seattle, WA 98116",(206) 923-0534,http://www.bakerynouveau.com/
-122.2854279,47.55811168,Island Soul,"4869 Rainier Ave S Seattle, WA 98118", 206-329-1202,https://www.islandsoulrestaurant.com/
-122.3101178,47.57659848,Homer,"3013 Beacon Avenue South, Seattle, WA, 98144",206-785-6099,https://www.restauranthomer.com/
-122.3243177,47.68008861,Eight Row,"7102 Woodlawn Ave NE, Seattle, WA 98115",(206) 294-3178,https://www.eightrow.com/
-122.3878259,47.68694684,Cafe Munir,"2408 NW 80th St, Seattle, WA 98117",(206) 783-4190,https://facebook.com/Cafe-Munir-117120638400154/
-122.3764724,47.67405857,Watson's Counter,"6201 15th Ave NW, Seattle, WA 98107",206-349-3283 (text),https://www.facebook.com/watsonscounter/
-122.3748182,47.67940909,Delancey,"1415 NW 70th St, Seattle, WA 98117",(206) 838-1960,https://delanceyseattle.com/
-122.3839848,47.66782865,Porkchop & Co,"5451 Leary Ave NW, Seattle, WA 98107",(206) 257-5761,https://www.eatatporkchop.com/
-122.3430345,47.652975,Art of the Table,"3801 Stone Way N Suite A, Seattle, WA 98103",(206) 282-0942,https://www.artofthetable.net/
-122.3423143,47.64957732,The Whale Wins,"3506 Stone Way N, Seattle, WA 98103",(206) 632-9425,https://www.thewhalewins.com/
-122.3443186,47.65408123,Kamonegi,"1054 N 39th St, Seattle, WA 98103",(206) 632-0185,https://www.kamonegiseattle.com/
-122.3496442,47.65949545,Uneeda Burger,"4302 Fremont Ave N, Seattle, WA 98103",(206) 547-2600,http://uneedaburger.com/
-122.3509272,47.65047509,El Camino,"607 N 35th St, Seattle, WA 98103",(206) 632-7303,http://elcaminorestaurant.com/
-122.3473167,47.61819156,5 Point Cafe ,"415 Cedar St",206.448.9991 ,https://www.the5pointcafe.com/
-122.3493422,47.65032384,Agrodolce,"709 N 35th St, Seattle, WA 98103",(206)547-9707,https://www.agrodolcefremont.com/
-122.3825398,47.66732429,Alison’s Coastal Cafe & Bakery,"5404 Leary Ave NW",206.322.5028 ,https://www.instagram.com/alisonscoastalcafe/
-122.3544997,47.51615263,Anju Bar and Eatery,"9641 15th Ave SW", 206.397.4669 ,https://anjuseattle.com/
-122.3489049,47.61386308,Bang Bang Café - Belltown,"2460 Western Ave.", 206-448-2233,https://www.bangbangseattle.com/cafe
-122.3095732,47.57531685,Bar Del Corso,"3057 Beacon Ave. S.", 206-395-2069,https://www.bardelcorso.com/
